food_liking,disease,beta,g_p,sig,yuanshi,category,postive,negative
Fried chicken liking,MI,0.053537398,Fried chicken liking_MIP,0.903313156,fried chicken,Total Animal Products,>0.05,>0.05
Herring liking,MI,0.055039984,Herring liking_MIP,0.903313156,herring,Total Animal Products,>0.05,>0.05
Mackerel liking,MI,0.090989057,Mackerel liking_MIP,0.775792419,mackerel,Total Animal Products,>0.05,>0.05
Pork chop liking,MI,0.046931635,Pork chop liking_MIP,0.903313156,pork chop,Total Animal Products,>0.05,>0.05
Prawns liking,MI,-0.075734752,Prawns liking_MIP,0.318556469,prawns,Total Animal Products,>0.05,>0.05
Red meat liking,MI,-0.120402533,Red meat liking_MIP,0.245808746,red meat,Total Animal Products,>0.05,>0.05
Salmon liking,MI,-0.148800891,Salmon liking_MIP,0.133504111,salmon,Total Animal Products,>0.05,>0.05
Sardines liking,MI,-0.067361083,Sardines liking_MIP,0.42247064,sardines,Total Animal Products,>0.05,>0.05
Shellfish liking,MI,-0.021685168,Shellfish liking_MIP,0.794466258,shellfish (other than prawns),Total Animal Products,>0.05,>0.05
Total fish liking,MI,0.106518624,Total fish liking_MIP,0.903313156,Total fish,Total Animal Products,>0.05,>0.05
Total meat liking,MI,0.027511408,Total meat liking_MIP,0.930580329,Total meat,Total Animal Products,>0.05,>0.05
Total seafood liking,MI,-0.04753955,Total seafood liking_MIP,0.564491828,Total seafood,Total Animal Products,>0.05,>0.05
Total small fish liking,MI,0.07583654,Total small fish liking_MIP,0.903313156,Total small fish,Total Animal Products,>0.05,>0.05
Baked/steamed fish liking,IHD,-0.056729909,Baked/steamed fish liking_IHDP,0.418475322,baked/steamed fish,Total Animal Products,>0.05,>0.05
Beef/steak liking,IHD,0.055032377,Beef/steak liking_IHDP,0.483903045,beef steak,Total Animal Products,>0.05,>0.05
Fried chicken liking,IHD,0.136115448,Fried chicken liking_IHDP,0.041453257,fried chicken,Total Animal Products,<0.05,<0.05
Herring liking,IHD,-0.04374526,Herring liking_IHDP,0.446289931,herring,Total Animal Products,>0.05,>0.05
Mackerel liking,IHD,-0.062706574,Mackerel liking_IHDP,0.243944517,mackerel,Total Animal Products,>0.05,>0.05
Pork chop liking,IHD,-0.003121287,Pork chop liking_IHDP,0.97200815,pork chop,Total Animal Products,>0.05,>0.05
Prawns liking,IHD,-0.121355852,Prawns liking_IHDP,0.006384619,prawns,Total Animal Products,<0.01,<0.01
Red meat liking,IHD,0.049667803,Red meat liking_IHDP,0.540899876,red meat,Total Animal Products,>0.05,>0.05
Salmon liking,IHD,-0.130991942,Salmon liking_IHDP,0.032938641,salmon,Total Animal Products,<0.05,<0.05
Sardines liking,IHD,-0.113520197,Sardines liking_IHDP,0.022259556,sardines,Total Animal Products,<0.05,<0.05
Shellfish liking,IHD,-0.084846306,Shellfish liking_IHDP,0.048436472,shellfish (other than prawns),Total Animal Products,<0.05,<0.05
Total fish liking,IHD,-0.083147888,Total fish liking_IHDP,0.370385371,Total fish,Total Animal Products,>0.05,>0.05
Total meat liking,IHD,0.091115723,Total meat liking_IHDP,0.400126725,Total meat,Total Animal Products,>0.05,>0.05
Total seafood liking,IHD,-0.130042403,Total seafood liking_IHDP,0.005801555,Total seafood,Total Animal Products,<0.01,<0.01
Total small fish liking,IHD,-0.085456852,Total small fish liking_IHDP,0.24337022,Total small fish,Total Animal Products,>0.05,>0.05
Baked/steamed fish liking,HF,-0.251380167,Baked/steamed fish liking_HFP,0.046644564,baked/steamed fish,Total Animal Products,<0.05,<0.05
Beef/steak liking,HF,0.039365407,Beef/steak liking_HFP,0.932761307,beef steak,Total Animal Products,>0.05,>0.05
Fried chicken liking,HF,0.313559533,Fried chicken liking_HFP,0.037786995,fried chicken,Total Animal Products,<0.05,<0.05
Herring liking,HF,-0.155173381,Herring liking_HFP,0.144780741,herring,Total Animal Products,>0.05,>0.05
Mackerel liking,HF,-0.153109443,Mackerel liking_HFP,0.140779131,mackerel,Total Animal Products,>0.05,>0.05
Pork chop liking,HF,0.018220893,Pork chop liking_HFP,0.956885593,pork chop,Total Animal Products,>0.05,>0.05
Prawns liking,HF,-0.000811614,Prawns liking_HFP,0.991629776,prawns,Total Animal Products,>0.05,>0.05
Red meat liking,HF,-0.013021144,Red meat liking_HFP,0.921438816,red meat,Total Animal Products,>0.05,>0.05
Salmon liking,HF,-0.237455935,Salmon liking_HFP,0.057413795,salmon,Total Animal Products,>0.05,>0.05
Sardines liking,HF,-0.117981745,Sardines liking_HFP,0.261634647,sardines,Total Animal Products,>0.05,>0.05
Shellfish liking,HF,-0.006380589,Shellfish liking_HFP,0.934881834,shellfish (other than prawns),Total Animal Products,>0.05,>0.05
Total fish liking,HF,-0.212628517,Total fish liking_HFP,0.25054146,Total fish,Total Animal Products,>0.05,>0.05
Total meat liking,HF,0.349700181,Total meat liking_HFP,0.196112674,Total meat,Total Animal Products,>0.05,>0.05
Total seafood liking,HF,-0.022259713,Total seafood liking_HFP,0.840444526,Total seafood,Total Animal Products,>0.05,>0.05
Total small fish liking,HF,-0.105311876,Total small fish liking_HFP,0.490875791,Total small fish,Total Animal Products,>0.05,>0.05
Baked/steamed fish liking,CVD,-0.077401883,Baked/steamed fish liking_CVDP,0.198624549,baked/steamed fish,Total Animal Products,>0.05,>0.05
Beef/steak liking,CVD,0.044119041,Beef/steak liking_CVDP,0.648221879,beef steak,Total Animal Products,>0.05,>0.05
Fried chicken liking,CVD,0.139358392,Fried chicken liking_CVDP,0.020750337,fried chicken,Total Animal Products,<0.05,<0.05
Herring liking,CVD,-0.058928494,Herring liking_CVDP,0.229059358,herring,Total Animal Products,>0.05,>0.05
Mackerel liking,CVD,-0.067747679,Mackerel liking_CVDP,0.150834907,mackerel,Total Animal Products,>0.05,>0.05
Pork chop liking,CVD,-0.001202564,Pork chop liking_CVDP,0.985913612,pork chop,Total Animal Products,>0.05,>0.05
Prawns liking,CVD,-0.100000347,Prawns liking_CVDP,0.014416267,prawns,Total Animal Products,<0.05,<0.05
Red meat liking,CVD,0.042232623,Red meat liking_CVDP,0.648221879,red meat,Total Animal Products,>0.05,>0.05
Salmon liking,CVD,-0.130971724,Salmon liking_CVDP,0.016164099,salmon,Total Animal Products,<0.05,<0.05
Sardines liking,CVD,-0.113670494,Sardines liking_CVDP,0.011649464,sardines,Total Animal Products,<0.05,<0.05
Shellfish liking,CVD,-0.090388239,Shellfish liking_CVDP,0.016510896,shellfish (other than prawns),Total Animal Products,<0.05,<0.05
Total fish liking,CVD,-0.104454737,Total fish liking_CVDP,0.194423968,Total fish,Total Animal Products,>0.05,>0.05
Total meat liking,CVD,0.055089109,Total meat liking_CVDP,0.648221879,Total meat,Total Animal Products,>0.05,>0.05
Total seafood liking,CVD,-0.108007714,Total seafood liking_CVDP,0.013147788,Total seafood,Total Animal Products,<0.05,<0.05
Total small fish liking,CVD,-0.103320441,Total small fish liking_CVDP,0.104105784,Total small fish,Total Animal Products,>0.05,>0.05
Asparagus liking,T2D,-0.329107182,Asparagus liking_T2DP,5.80E-07,asparagus,Vegetable/Beans,<0.0001,<0.0001
Aubergine liking,T2D,-0.424701602,Aubergine liking_T2DP,2.27E-12,aubergine,Vegetable/Beans,<0.0001,<0.0001
Beans liking,T2D,-0.331473691,Beans liking_T2DP,0.001357772,Beans,Vegetable/Beans,<0.01,<0.01
Bell pepper liking,T2D,-0.312706833,Bell pepper liking_T2DP,7.33E-07,bell pepper,Vegetable/Beans,<0.0001,<0.0001
Broad bean liking,T2D,-0.284728986,Broad bean liking_T2DP,5.16E-06,broad beans,Vegetable/Beans,<0.0001,<0.0001
Broccoli liking,T2D,-0.386160652,Broccoli liking_T2DP,6.60E-07,broccoli,Vegetable/Beans,<0.0001,<0.0001
Brussel sprout liking,T2D,-0.236347595,Brussel sprout liking_T2DP,3.75E-05,brussel sprouts,Vegetable/Beans,<0.0001,<0.0001
Butternut squash liking,T2D,-0.472021924,Butternut squash liking_T2DP,5.85E-13,butternut squash,Vegetable/Beans,<0.0001,<0.0001
Cabbage liking,T2D,-0.168868016,Cabbage liking_T2DP,0.051667142,cabbage,Vegetable/Beans,>0.05,>0.05
Coriander liking,T2D,-0.125849189,Coriander liking_T2DP,0.069910593,coriander,Vegetable/Beans,>0.05,>0.05
Cucumber liking,T2D,-0.015506377,Cucumber liking_T2DP,0.824795781,cucumber,Vegetable/Beans,>0.05,>0.05
Garlic liking,T2D,-0.129497154,Garlic liking_T2DP,0.055928484,garlic,Vegetable/Beans,>0.05,>0.05
Globe artichoke liking,T2D,-0.424572661,Globe artichoke liking_T2DP,2.95E-08,globe artichoke,Vegetable/Beans,<0.0001,<0.0001
Mushroom liking,T2D,-0.305633851,Mushroom liking_T2DP,6.35E-05,mushrooms,Vegetable/Beans,<0.0001,<0.0001
Potatoes liking,T2D,-0.488059796,Potatoes liking_T2DP,0.007784453,potatoes,Vegetable/Beans,<0.01,<0.01
Raw carrot liking,T2D,-0.144200023,Raw carrot liking_T2DP,0.086321456,raw carrots,Vegetable/Beans,>0.05,>0.05
Salad leaves liking,T2D,-0.257069333,Salad leaves liking_T2DP,0.020922691,salad leaves,Vegetable/Beans,<0.05,<0.05
Spinach liking,T2D,-0.475642382,Spinach liking_T2DP,2.68E-14,spinach,Vegetable/Beans,<0.0001,<0.0001
Tomatoes liking,T2D,-0.244189156,Tomatoes liking_T2DP,0.004472252,fresh tomatoes,Vegetable/Beans,<0.01,<0.01
Total capsicum liking,T2D,-0.138120115,Total capsicum liking_T2DP,0.153147405,Total capsicum,Vegetable/Beans,>0.05,>0.05
Total lentils/beans liking,T2D,-0.293785562,Total lentils/beans liking_T2DP,0.000763975,Total lentils/beans,Vegetable/Beans,<0.001,<0.001
Total strong vegetable liking,T2D,-0.629180136,Total strong vegetable liking_T2DP,4.19E-11,Total strong vegetable,Vegetable/Beans,<0.0001,<0.0001
Turnip liking,T2D,-0.170909473,Turnip liking_T2DP,0.008707345,turnip (white),Vegetable/Beans,<0.01,<0.01
Asparagus liking,Stroke,-0.359445096,Asparagus liking_StrokeP,0.014374991,asparagus,Vegetable/Beans,<0.05,<0.05
Aubergine liking,Stroke,-0.323815141,Aubergine liking_StrokeP,0.020823169,aubergine,Vegetable/Beans,<0.05,<0.05
Beans liking,Stroke,-0.287101874,Beans liking_StrokeP,0.239519965,Beans,Vegetable/Beans,>0.05,>0.05
Bell pepper liking,Stroke,-0.259835653,Bell pepper liking_StrokeP,0.066724593,bell pepper,Vegetable/Beans,>0.05,>0.05
Broad bean liking,Stroke,-0.188585112,Broad bean liking_StrokeP,0.192961949,broad beans,Vegetable/Beans,>0.05,>0.05
Broccoli liking,Stroke,-0.19649702,Broccoli liking_StrokeP,0.321564536,broccoli,Vegetable/Beans,>0.05,>0.05
Brussel sprout liking,Stroke,-0.047943249,Brussel sprout liking_StrokeP,0.736520147,brussel sprouts,Vegetable/Beans,>0.05,>0.05
Butternut squash liking,Stroke,-0.407699916,Butternut squash liking_StrokeP,0.006303674,butternut squash,Vegetable/Beans,<0.01,<0.01
Cabbage liking,Stroke,-0.392004481,Cabbage liking_StrokeP,0.03071477,cabbage,Vegetable/Beans,<0.05,<0.05
Coriander liking,Stroke,-0.240696787,Coriander liking_StrokeP,0.103059438,coriander,Vegetable/Beans,>0.05,>0.05
Cucumber liking,Stroke,-0.170856616,Cucumber liking_StrokeP,0.22446328,cucumber,Vegetable/Beans,>0.05,>0.05
Garlic liking,Stroke,-0.475263575,Garlic liking_StrokeP,0.000183007,garlic,Vegetable/Beans,<0.001,<0.001
Globe artichoke liking,Stroke,-0.374638754,Globe artichoke liking_StrokeP,0.020823169,globe artichoke,Vegetable/Beans,<0.05,<0.05
Mushroom liking,Stroke,-0.320493835,Mushroom liking_StrokeP,0.05626082,mushrooms,Vegetable/Beans,>0.05,>0.05
Potatoes liking,Stroke,-0.181903744,Potatoes liking_StrokeP,0.697065862,potatoes,Vegetable/Beans,>0.05,>0.05
Raw carrot liking,Stroke,-0.034746307,Raw carrot liking_StrokeP,0.860023831,raw carrots,Vegetable/Beans,>0.05,>0.05
Salad leaves liking,Stroke,-0.296721495,Salad leaves liking_StrokeP,0.250693965,salad leaves,Vegetable/Beans,>0.05,>0.05
Spinach liking,Stroke,-0.289490306,Spinach liking_StrokeP,0.054167878,spinach,Vegetable/Beans,>0.05,>0.05
Tomatoes liking,Stroke,-0.247608155,Tomatoes liking_StrokeP,0.203187567,fresh tomatoes,Vegetable/Beans,>0.05,>0.05
Total capsicum liking,Stroke,-0.50592633,Total capsicum liking_StrokeP,0.008490864,Total capsicum,Vegetable/Beans,<0.01,<0.01
Total lentils/beans liking,Stroke,-0.369788207,Total lentils/beans liking_StrokeP,0.056846279,Total lentils/beans,Vegetable/Beans,>0.05,>0.05
Total strong vegetable liking,Stroke,-0.518087012,Total strong vegetable liking_StrokeP,0.017928674,Total strong vegetable,Vegetable/Beans,<0.05,<0.05
Turnip liking,Stroke,-0.164773171,Turnip liking_StrokeP,0.258666412,turnip (white),Vegetable/Beans,>0.05,>0.05
Asparagus liking,MI,-0.368407277,Asparagus liking_MIP,0.000107635,asparagus,Vegetable/Beans,<0.001,<0.001
Aubergine liking,MI,-0.156477958,Aubergine liking_MIP,0.115205011,aubergine,Vegetable/Beans,>0.05,>0.05
Beans liking,MI,-0.26953683,Beans liking_MIP,0.115205011,Beans,Vegetable/Beans,>0.05,>0.05
Bell pepper liking,MI,-0.272882875,Bell pepper liking_MIP,0.003790398,bell pepper,Vegetable/Beans,<0.01,<0.01
Broad bean liking,MI,-0.224789026,Broad bean liking_MIP,0.020538825,broad beans,Vegetable/Beans,<0.05,<0.05
Broccoli liking,MI,-0.464999774,Broccoli liking_MIP,2.22E-05,broccoli,Vegetable/Beans,<0.0001,<0.0001
Brussel sprout liking,MI,-0.195177933,Brussel sprout liking_MIP,0.023873301,brussel sprouts,Vegetable/Beans,<0.05,<0.05
Butternut squash liking,MI,-0.264205515,Butternut squash liking_MIP,0.007750063,butternut squash,Vegetable/Beans,<0.01,<0.01
Cabbage liking,MI,-0.169093228,Cabbage liking_MIP,0.19789187,cabbage,Vegetable/Beans,>0.05,>0.05
Coriander liking,MI,-0.232296262,Coriander liking_MIP,0.020649985,coriander,Vegetable/Beans,<0.05,<0.05
Cucumber liking,MI,-0.12162554,Cucumber liking_MIP,0.200774769,cucumber,Vegetable/Beans,>0.05,>0.05
Garlic liking,MI,-0.013773896,Garlic liking_MIP,0.896735323,garlic,Vegetable/Beans,>0.05,>0.05
Globe artichoke liking,MI,-0.444152331,Globe artichoke liking_MIP,0.000111522,globe artichoke,Vegetable/Beans,<0.001,<0.001
Mushroom liking,MI,-0.121768546,Mushroom liking_MIP,0.352712197,mushrooms,Vegetable/Beans,>0.05,>0.05
Potatoes liking,MI,-0.020985771,Potatoes liking_MIP,0.959913705,potatoes,Vegetable/Beans,>0.05,>0.05
Raw carrot liking,MI,-0.330158718,Raw carrot liking_MIP,0.004778198,raw carrots,Vegetable/Beans,<0.01,<0.01
Salad leaves liking,MI,-0.276197678,Salad leaves liking_MIP,0.115205011,salad leaves,Vegetable/Beans,>0.05,>0.05
Spinach liking,MI,-0.343968336,Spinach liking_MIP,0.000314982,spinach,Vegetable/Beans,<0.001,<0.001
Tomatoes liking,MI,-0.159267919,Tomatoes liking_MIP,0.250372786,fresh tomatoes,Vegetable/Beans,>0.05,>0.05
Total capsicum liking,MI,-0.212747984,Total capsicum liking_MIP,0.133504111,Total capsicum,Vegetable/Beans,>0.05,>0.05
Total lentils/beans liking,MI,-0.154345914,Total lentils/beans liking_MIP,0.290377994,Total lentils/beans,Vegetable/Beans,>0.05,>0.05
Total strong vegetable liking,MI,-0.482868976,Total strong vegetable liking_MIP,0.00047445,Total strong vegetable,Vegetable/Beans,<0.001,<0.001
Turnip liking,MI,0.015460455,Turnip liking_MIP,0.930580329,turnip (white),Vegetable/Beans,>0.05,>0.05
Asparagus liking,IHD,-0.301877638,Asparagus liking_IHDP,1.07E-06,asparagus,Vegetable/Beans,<0.0001,<0.0001
Aubergine liking,IHD,-0.220756321,Aubergine liking_IHDP,0.000118194,aubergine,Vegetable/Beans,<0.001,<0.001
Beans liking,IHD,-0.26446333,Beans liking_IHDP,0.008722387,Beans,Vegetable/Beans,<0.01,<0.01
Bell pepper liking,IHD,-0.183963441,Bell pepper liking_IHDP,0.002475099,bell pepper,Vegetable/Beans,<0.01,<0.01
Broad bean liking,IHD,-0.167790113,Broad bean liking_IHDP,0.005659945,broad beans,Vegetable/Beans,<0.01,<0.01
Broccoli liking,IHD,-0.334640114,Broccoli liking_IHDP,8.21E-06,broccoli,Vegetable/Beans,<0.0001,<0.0001
Brussel sprout liking,IHD,-0.149203473,Brussel sprout liking_IHDP,0.007105576,brussel sprouts,Vegetable/Beans,<0.01,<0.01
Butternut squash liking,IHD,-0.280167286,Butternut squash liking_IHDP,5.19E-06,butternut squash,Vegetable/Beans,<0.0001,<0.0001
Cabbage liking,IHD,-0.098097631,Cabbage liking_IHDP,0.276941881,cabbage,Vegetable/Beans,>0.05,>0.05
Coriander liking,IHD,-0.17351407,Coriander liking_IHDP,0.005659945,coriander,Vegetable/Beans,<0.01,<0.01
Cucumber liking,IHD,-0.173041279,Cucumber liking_IHDP,0.002350896,cucumber,Vegetable/Beans,<0.01,<0.01
Garlic liking,IHD,-0.042185524,Garlic liking_IHDP,0.532617671,garlic,Vegetable/Beans,>0.05,>0.05
Globe artichoke liking,IHD,-0.280777868,Globe artichoke liking_IHDP,3.60E-05,globe artichoke,Vegetable/Beans,<0.0001,<0.0001
Mushroom liking,IHD,-0.073393036,Mushroom liking_IHDP,0.407652183,mushrooms,Vegetable/Beans,>0.05,>0.05
Potatoes liking,IHD,0.556225273,Potatoes liking_IHDP,0.062134058,potatoes,Vegetable/Beans,>0.05,>0.05
Raw carrot liking,IHD,-0.224753062,Raw carrot liking_IHDP,0.003561477,raw carrots,Vegetable/Beans,<0.01,<0.01
Salad leaves liking,IHD,-0.314359674,Salad leaves liking_IHDP,0.002633442,salad leaves,Vegetable/Beans,<0.01,<0.01
Spinach liking,IHD,-0.284795306,Spinach liking_IHDP,3.86E-06,spinach,Vegetable/Beans,<0.0001,<0.0001
Tomatoes liking,IHD,-0.156692665,Tomatoes liking_IHDP,0.066407254,fresh tomatoes,Vegetable/Beans,>0.05,>0.05
Total capsicum liking,IHD,-0.208219343,Total capsicum liking_IHDP,0.016631125,Total capsicum,Vegetable/Beans,<0.05,<0.05
Total lentils/beans liking,IHD,-0.156577847,Total lentils/beans liking_IHDP,0.085959699,Total lentils/beans,Vegetable/Beans,>0.05,>0.05
Total strong vegetable liking,IHD,-0.438516801,Total strong vegetable liking_IHDP,1.25E-06,Total strong vegetable,Vegetable/Beans,<0.0001,<0.0001
Turnip liking,IHD,0.022860128,Turnip liking_IHDP,0.8204952,turnip (white),Vegetable/Beans,>0.05,>0.05
Asparagus liking,HF,-0.460359447,Asparagus liking_HFP,6.19E-05,asparagus,Vegetable/Beans,<0.0001,<0.0001
Aubergine liking,HF,-0.270528968,Aubergine liking_HFP,0.0290749,aubergine,Vegetable/Beans,<0.05,<0.05
Beans liking,HF,-0.364745738,Beans liking_HFP,0.060047327,Beans,Vegetable/Beans,>0.05,>0.05
Bell pepper liking,HF,-0.233069717,Bell pepper liking_HFP,0.057413795,bell pepper,Vegetable/Beans,>0.05,>0.05
Broad bean liking,HF,-0.231095231,Broad bean liking_HFP,0.05852224,broad beans,Vegetable/Beans,>0.05,>0.05
Broccoli liking,HF,-0.541945197,Broccoli liking_HFP,6.19E-05,broccoli,Vegetable/Beans,<0.0001,<0.0001
Brussel sprout liking,HF,-0.209911536,Brussel sprout liking_HFP,0.067960892,brussel sprouts,Vegetable/Beans,>0.05,>0.05
Butternut squash liking,HF,-0.439156292,Butternut squash liking_HFP,0.000376667,butternut squash,Vegetable/Beans,<0.001,<0.001
Cabbage liking,HF,-0.067194027,Cabbage liking_HFP,0.728800988,cabbage,Vegetable/Beans,>0.05,>0.05
Coriander liking,HF,-0.162386384,Coriander liking_HFP,0.223779426,coriander,Vegetable/Beans,>0.05,>0.05
Cucumber liking,HF,-0.165141307,Cucumber liking_HFP,0.155204681,cucumber,Vegetable/Beans,>0.05,>0.05
Garlic liking,HF,-0.147787942,Garlic liking_HFP,0.215864575,garlic,Vegetable/Beans,>0.05,>0.05
Globe artichoke liking,HF,-0.083784313,Globe artichoke liking_HFP,0.57911665,globe artichoke,Vegetable/Beans,>0.05,>0.05
Mushroom liking,HF,-0.29083326,Mushroom liking_HFP,0.057254675,mushrooms,Vegetable/Beans,>0.05,>0.05
Potatoes liking,HF,-0.360987353,Potatoes liking_HFP,0.376445752,potatoes,Vegetable/Beans,>0.05,>0.05
Raw carrot liking,HF,-0.226508375,Raw carrot liking_HFP,0.1466284,raw carrots,Vegetable/Beans,>0.05,>0.05
Salad leaves liking,HF,-0.426584327,Salad leaves liking_HFP,0.039527755,salad leaves,Vegetable/Beans,<0.05,<0.05
Spinach liking,HF,-0.401083519,Spinach liking_HFP,0.00072217,spinach,Vegetable/Beans,<0.001,<0.001
Tomatoes liking,HF,-0.208166992,Tomatoes liking_HFP,0.223779426,fresh tomatoes,Vegetable/Beans,>0.05,>0.05
Total capsicum liking,HF,-0.134688931,Total capsicum liking_HFP,0.438537056,Total capsicum,Vegetable/Beans,>0.05,>0.05
Total lentils/beans liking,HF,-0.412283645,Total lentils/beans liking_HFP,0.011207593,Total lentils/beans,Vegetable/Beans,<0.05,<0.05
Total strong vegetable liking,HF,-0.479453094,Total strong vegetable liking_HFP,0.009563162,Total strong vegetable,Vegetable/Beans,<0.01,<0.01
Turnip liking,HF,-0.163051037,Turnip liking_HFP,0.191434023,turnip (white),Vegetable/Beans,>0.05,>0.05
Asparagus liking,CVD,-0.297351277,Asparagus liking_CVDP,1.58E-07,asparagus,Vegetable/Beans,<0.0001,<0.0001
Aubergine liking,CVD,-0.223991311,Aubergine liking_CVDP,1.70E-05,aubergine,Vegetable/Beans,<0.0001,<0.0001
Beans liking,CVD,-0.269131898,Beans liking_CVDP,0.003459085,Beans,Vegetable/Beans,<0.01,<0.01
Bell pepper liking,CVD,-0.202575865,Bell pepper liking_CVDP,0.000183274,bell pepper,Vegetable/Beans,<0.001,<0.001
Broad bean liking,CVD,-0.153216555,Broad bean liking_CVDP,0.005803111,broad beans,Vegetable/Beans,<0.01,<0.01
Broccoli liking,CVD,-0.306820911,Broccoli liking_CVDP,1.08E-05,broccoli,Vegetable/Beans,<0.0001,<0.0001
Brussel sprout liking,CVD,-0.141042774,Brussel sprout liking_CVDP,0.005803111,brussel sprouts,Vegetable/Beans,<0.01,<0.01
Butternut squash liking,CVD,-0.294801991,Butternut squash liking_CVDP,1.67E-07,butternut squash,Vegetable/Beans,<0.0001,<0.0001
Cabbage liking,CVD,-0.127641434,Cabbage liking_CVDP,0.101053575,cabbage,Vegetable/Beans,>0.05,>0.05
Coriander liking,CVD,-0.192349693,Coriander liking_CVDP,0.000595233,coriander,Vegetable/Beans,<0.001,<0.001
Cucumber liking,CVD,-0.156109283,Cucumber liking_CVDP,0.002903682,cucumber,Vegetable/Beans,<0.01,<0.01
Garlic liking,CVD,-0.121869551,Garlic liking_CVDP,0.026539921,garlic,Vegetable/Beans,<0.05,<0.05
Globe artichoke liking,CVD,-0.313829154,Globe artichoke liking_CVDP,4.21E-07,globe artichoke,Vegetable/Beans,<0.0001,<0.0001
Mushroom liking,CVD,-0.109125948,Mushroom liking_CVDP,0.145140749,mushrooms,Vegetable/Beans,>0.05,>0.05
Potatoes liking,CVD,0.508012838,Potatoes liking_CVDP,0.07316163,potatoes,Vegetable/Beans,>0.05,>0.05
Raw carrot liking,CVD,-0.184784495,Raw carrot liking_CVDP,0.010601632,raw carrots,Vegetable/Beans,<0.05,<0.05
Salad leaves liking,CVD,-0.30815561,Salad leaves liking_CVDP,0.001331431,salad leaves,Vegetable/Beans,<0.01,<0.01
Spinach liking,CVD,-0.270824529,Spinach liking_CVDP,1.18E-06,spinach,Vegetable/Beans,<0.0001,<0.0001
Tomatoes liking,CVD,-0.146474538,Tomatoes liking_CVDP,0.056205722,fresh tomatoes,Vegetable/Beans,>0.05,>0.05
Total capsicum liking,CVD,-0.254320696,Total capsicum liking_CVDP,0.000925284,Total capsicum,Vegetable/Beans,<0.001,<0.001
Total lentils/beans liking,CVD,-0.187485649,Total lentils/beans liking_CVDP,0.016164099,Total lentils/beans,Vegetable/Beans,<0.05,<0.05
Total strong vegetable liking,CVD,-0.445432418,Total strong vegetable liking_CVDP,7.66E-08,Total strong vegetable,Vegetable/Beans,<0.0001,<0.0001
Turnip liking,CVD,-0.006480792,Turnip liking_CVDP,0.941140584,turnip (white),Vegetable/Beans,>0.05,>0.05
